,Team,smallest_value,score
9,Netherlands,1,Champion
16,Sweden,1,Champion
11,Norway,1,Champion
6,Germany,1,Champion
18,Ukraine,1,Champion
3,England,1,Champion
8,Italy,2,Finalist
2,Denmark,2,Finalist
5,France,3,Semifinals
15,Spain,3,Semifinals
4,Finland,3,Semifinals
0,Austria,3,Semifinals
7,Iceland,4,Quarterfinals
1,Belgium,4,Quarterfinals
17,Switzerland,5,Group stage
10,Northern Ireland,5,Group stage
12,Portugal,5,Group stage
13,Russia,5,Group stage
14,Scotland,5,Group stage
